age,race,gender,label
20-29,White,Female,surprise
20-29,White,Male,surprise
20-29,White,Female,sad
30-39,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,surprise
30-39,White,Female,angry
30-39,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,angry
20-29,White,Male,surprise
20-29,White,Male,disgust
20-29,White,Female,surprise
20-29,White,Female,angry
30-39,White,Male,disgust
30-39,White,Male,fear
20-29,White,Female,fear
20-29,White,Female,fear
30-39,White,Female,neutral
20-29,White,Female,surprise
30-39,White,Male,sad
20-29,White,Female,surprise
30-39,White,Male,surprise
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Male,surprise
20-29,White,Female,angry
20-29,White,Male,fear
20-29,White,Female,angry
20-29,White,Female,surprise
30-39,White,Male,neutral
20-29,White,Female,fear
20-29,White,Male,angry
20-29,White,Male,angry
30-39,White,Male,sad
30-39,White,Male,angry
20-29,White,Female,neutral
20-29,White,Female,sad
20-29,White,Female,disgust
30-39,White,Male,angry
30-39,White,Male,happy
30-39,White,Male,fear
30-39,White,Female,angry
20-29,White,Male,disgust
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Female,happy
20-29,White,Male,angry
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Female,sad
30-39,White,Female,sad
20-29,White,Female,neutral
20-29,White,Female,angry
20-29,White,Female,disgust
30-39,White,Female,happy
20-29,White,Male,neutral
20-29,White,Male,surprise
20-29,White,Female,neutral
30-39,White,Female,fear
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Female,fear
30-39,White,Male,disgust
20-29,White,Female,surprise
20-29,White,Male,disgust
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,surprise
20-29,White,Female,fear
20-29,White,Male,angry
20-29,White,Male,surprise
20-29,White,Female,happy
20-29,White,Male,happy
20-29,White,Female,happy
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Male,disgust
20-29,White,Female,sad
20-29,White,Male,fear
20-29,White,Female,angry
30-39,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,disgust
30-39,White,Male,surprise
30-39,White,Female,happy
20-29,White,Female,sad
30-39,White,Male,angry
30-39,White,Female,fear
20-29,White,Female,angry
20-29,White,Female,surprise
20-29,White,Male,angry
20-29,White,Female,angry
30-39,White,Male,surprise
20-29,White,Female,sad
20-29,White,Female,disgust
20-29,White,Male,surprise
20-29,White,Female,disgust
30-39,White,Male,surprise
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Female,neutral
30-39,White,Male,neutral
20-29,White,Female,fear
30-39,White,Female,fear
30-39,White,Male,sad
20-29,White,Female,disgust
20-29,White,Male,fear
20-29,White,Female,neutral
20-29,White,Female,happy
30-39,White,Female,fear
20-29,White,Male,angry
20-29,White,Female,happy
20-29,White,Male,neutral
20-29,White,Male,happy
20-29,White,Female,happy
30-39,White,Male,neutral
20-29,White,Female,disgust
20-29,White,Female,disgust
20-29,White,Female,happy
20-29,White,Female,neutral
20-29,White,Female,fear
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Female,disgust
20-29,White,Female,sad
30-39,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,angry
20-29,White,Male,disgust
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,surprise
30-39,White,Male,angry
20-29,White,Female,sad
20-29,White,Female,neutral
20-29,White,Female,sad
20-29,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Female,neutral
30-39,White,Female,disgust
20-29,White,Female,fear
20-29,White,Female,disgust
20-29,White,Female,happy
30-39,White,Male,happy
20-29,White,Female,angry
20-29,White,Male,neutral
30-39,White,Male,neutral
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Male,angry
20-29,White,Female,disgust
20-29,White,Female,angry
30-39,White,Male,disgust
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,sad
30-39,White,Male,fear
20-29,White,Female,neutral
30-39,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,sad
30-39,White,Female,disgust
20-29,White,Male,sad
20-29,White,Female,disgust
20-29,White,Male,disgust
20-29,White,Female,surprise
30-39,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,happy
20-29,White,Male,neutral
20-29,White,Male,fear
20-29,White,Female,angry
30-39,White,Female,angry
20-29,White,Male,sad
20-29,White,Female,fear
20-29,White,Female,happy
20-29,White,Female,fear
20-29,White,Male,disgust
20-29,White,Female,fear
20-29,White,Male,sad
20-29,White,Male,sad
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Male,surprise
20-29,White,Female,sad
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,happy
20-29,White,Male,disgust
20-29,White,Male,neutral
30-39,White,Male,neutral
20-29,White,Male,angry
20-29,White,Female,disgust
30-39,White,Male,sad
20-29,White,Female,fear
20-29,White,Female,angry
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Male,disgust
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,disgust
20-29,White,Male,fear
30-39,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,disgust
20-29,White,Female,neutral
20-29,White,Female,disgust
30-39,White,Male,neutral
20-29,White,Female,angry
30-39,White,Male,fear
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,happy
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Female,disgust
30-39,White,Male,happy
20-29,White,Male,fear
20-29,White,Male,fear
20-29,White,Female,angry
20-29,White,Female,angry
20-29,White,Female,surprise
20-29,White,Male,angry
20-29,White,Male,happy
20-29,White,Female,sad
20-29,White,Male,disgust
30-39,White,Female,disgust
20-29,White,Female,fear
20-29,White,Male,surprise
20-29,White,Female,angry
30-39,White,Male,disgust
20-29,White,Female,happy
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,sad
30-39,White,Male,fear
30-39,White,Female,happy
20-29,White,Male,neutral
30-39,White,Male,surprise
30-39,White,Female,surprise
20-29,White,Female,happy
20-29,White,Female,fear
30-39,White,Male,happy
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Female,fear
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,angry
20-29,White,Male,disgust
30-39,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Male,disgust
20-29,White,Female,angry
30-39,White,Male,happy
20-29,White,Male,fear
20-29,White,Female,fear
20-29,White,Female,sad
30-39,White,Female,angry
30-39,White,Male,fear
20-29,White,Female,surprise
30-39,White,Male,fear
20-29,White,Male,fear
20-29,White,Female,happy
30-39,White,Male,disgust
20-29,White,Female,surprise
20-29,White,Female,happy
20-29,White,Female,happy
20-29,White,Female,angry
30-39,White,Male,sad
20-29,White,Female,sad
30-39,White,Male,sad
20-29,White,Male,surprise
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,surprise
30-39,White,Male,happy
20-29,White,Female,angry
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,happy
20-29,White,Male,angry
20-29,White,Female,surprise
20-29,White,Female,disgust
20-29,White,Female,fear
30-39,White,Male,disgust
30-39,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,surprise
30-39,White,Male,sad
30-39,White,Female,happy
20-29,White,Female,sad
20-29,White,Male,fear
30-39,White,Male,neutral
20-29,White,Female,sad
20-29,White,Female,sad
30-39,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Female,sad
20-29,White,Female,fear
20-29,White,Female,fear
20-29,White,Female,surprise
20-29,White,Female,fear
20-29,White,Male,fear
20-29,White,Male,sad
30-39,White,Male,happy
20-29,White,Female,surprise
30-39,White,Male,surprise
20-29,White,Female,neutral
20-29,White,Male,happy
30-39,White,Male,surprise
30-39,White,Male,surprise
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,angry
20-29,White,Female,fear
30-39,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Male,angry
20-29,White,Female,happy
30-39,White,Female,disgust
20-29,White,Female,fear
20-29,White,Male,surprise
20-29,White,Female,angry
20-29,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,sad
20-29,White,Female,disgust
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Male,happy
20-29,White,Female,neutral
20-29,White,Male,fear
20-29,White,Female,sad
20-29,White,Female,happy
20-29,White,Male,angry
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Male,angry
20-29,White,Female,sad
20-29,White,Female,fear
20-29,White,Male,surprise
20-29,White,Female,angry
20-29,White,Female,neutral
30-39,White,Male,surprise
20-29,White,Female,happy
30-39,White,Female,angry
20-29,White,Male,happy
30-39,White,Male,fear
20-29,White,Female,fear
30-39,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,angry
30-39,White,Male,angry
20-29,White,Male,surprise
30-39,White,Male,surprise
20-29,White,Female,neutral
30-39,White,Female,fear
20-29,White,Female,angry
20-29,White,Male,fear
20-29,White,Female,neutral
30-39,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,sad
20-29,White,Female,happy
20-29,White,Male,happy
20-29,White,Female,angry
20-29,White,Female,angry
20-29,White,Female,surprise
20-29,White,Female,fear
20-29,White,Male,sad
20-29,White,Male,happy
20-29,White,Female,fear
30-39,White,Male,sad
20-29,White,Female,fear
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Female,happy
20-29,White,Male,happy
30-39,White,Male,neutral
20-29,White,Male,surprise
30-39,White,Male,angry
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,sad
20-29,White,Female,fear
20-29,White,Male,surprise
30-39,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,surprise
20-29,White,Male,fear
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,sad
20-29,White,Female,sad
20-29,White,Female,angry
30-39,White,Male,disgust
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,surprise
30-39,White,Female,neutral
20-29,White,Male,happy
30-39,White,Male,angry
20-29,White,Female,sad
30-39,White,Female,disgust
20-29,White,Female,neutral
20-29,White,Male,fear
20-29,White,Female,fear
20-29,White,Male,disgust
30-39,White,Male,happy
20-29,White,Male,sad
20-29,White,Female,disgust
30-39,White,Female,happy
20-29,White,Male,neutral
20-29,White,Female,disgust
20-29,White,Female,happy
20-29,White,Female,fear
20-29,White,Female,fear
20-29,White,Female,fear
20-29,White,Female,happy
20-29,White,Female,neutral
20-29,White,Female,neutral
30-39,White,Female,angry
20-29,White,Female,surprise
20-29,White,Female,sad
30-39,White,Male,angry
20-29,White,Female,neutral
30-39,White,Male,neutral
20-29,White,Male,angry
20-29,White,Male,neutral
30-39,White,Male,disgust
20-29,White,Female,happy
20-29,White,Male,disgust
20-29,White,Female,happy
20-29,White,Female,fear
20-29,White,Female,fear
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,angry
30-39,White,Male,fear
20-29,White,Female,sad
20-29,White,Female,fear
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Female,fear
20-29,White,Female,disgust
20-29,White,Female,sad
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,sad
20-29,White,Female,neutral
20-29,White,Female,neutral
30-39,White,Female,happy
30-39,White,Male,happy
20-29,White,Female,surprise
20-29,White,Male,sad
20-29,White,Female,happy
20-29,White,Female,sad
30-39,White,Male,angry
20-29,White,Female,surprise
20-29,White,Male,angry
20-29,White,Female,happy
30-39,White,Female,neutral
20-29,White,Female,disgust
20-29,White,Female,neutral
20-29,White,Female,disgust
20-29,White,Female,disgust
20-29,White,Female,neutral
20-29,White,Female,fear
20-29,White,Male,neutral
20-29,White,Female,surprise
30-39,White,Female,happy
20-29,White,Female,happy
30-39,White,Male,sad
20-29,White,Male,happy
20-29,White,Male,sad
20-29,White,Male,happy
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Male,angry
20-29,White,Male,sad
20-29,White,Female,sad
20-29,White,Male,neutral
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Male,surprise
30-39,White,Male,happy
20-29,White,Male,angry
20-29,White,Female,neutral
20-29,White,Male,angry
20-29,White,Male,angry
20-29,White,Female,fear
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Female,angry
20-29,White,Female,angry
20-29,White,Male,neutral
20-29,White,Female,sad
20-29,White,Female,neutral
30-39,White,Male,angry
20-29,White,Female,fear
20-29,White,Female,happy
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,surprise
20-29,White,Female,disgust
20-29,White,Female,neutral
20-29,White,Male,sad
30-39,White,Male,surprise
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Female,sad
20-29,White,Female,angry
30-39,White,Male,sad
20-29,White,Male,sad
30-39,White,Male,surprise
20-29,White,Female,fear
20-29,White,Male,angry
20-29,White,Male,angry
20-29,White,Female,angry
20-29,White,Female,angry
30-39,White,Male,disgust
20-29,White,Female,fear
20-29,White,Female,surprise
20-29,White,Male,fear
20-29,White,Female,happy
30-39,White,Male,neutral
20-29,White,Female,surprise
20-29,White,Female,disgust
30-39,White,Male,disgust
20-29,White,Female,neutral
20-29,White,Male,neutral
20-29,White,Male,angry
20-29,White,Female,happy
20-29,White,Female,fear
20-29,White,Female,disgust
20-29,White,Male,disgust
20-29,White,Female,neutral
20-29,White,Male,sad
20-29,White,Female,surprise
20-29,White,Male,disgust
20-29,White,Male,angry
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,happy
30-39,White,Male,angry
20-29,White,Male,neutral
20-29,White,Female,fear
20-29,White,Female,surprise
20-29,White,Male,surprise
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Male,sad
20-29,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,sad
20-29,White,Female,surprise
30-39,White,Male,angry
30-39,White,Male,angry
30-39,White,Male,fear
20-29,White,Female,neutral
20-29,White,Male,happy
20-29,White,Female,fear
20-29,White,Female,happy
20-29,White,Female,sad
20-29,White,Male,neutral
20-29,White,Female,fear
30-39,White,Male,surprise
20-29,White,Female,fear
30-39,White,Male,neutral
20-29,White,Female,angry
20-29,White,Male,sad
20-29,White,Male,fear
20-29,White,Female,disgust
20-29,White,Female,angry
30-39,White,Male,disgust
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Female,sad
20-29,White,Female,surprise
20-29,White,Male,fear
20-29,White,Male,happy
30-39,White,Male,surprise
30-39,White,Male,surprise
20-29,White,Male,fear
20-29,White,Male,sad
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,disgust
20-29,White,Female,neutral
20-29,White,Male,sad
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,fear
20-29,White,Female,sad
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Male,disgust
20-29,White,Female,angry
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,happy
30-39,White,Female,angry
30-39,White,Male,disgust
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Male,disgust
20-29,White,Female,angry
20-29,White,Male,surprise
20-29,White,Male,sad
20-29,White,Female,angry
20-29,White,Male,disgust
20-29,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,fear
20-29,White,Male,angry
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Female,sad
20-29,White,Female,surprise
20-29,White,Female,disgust
20-29,White,Female,happy
20-29,White,Female,happy
30-39,White,Female,sad
20-29,White,Male,surprise
20-29,White,Female,surprise
30-39,White,Male,happy
20-29,White,Female,angry
20-29,White,Male,neutral
20-29,White,Female,neutral
20-29,White,Male,neutral
20-29,White,Female,sad
30-39,White,Male,surprise
20-29,White,Female,surprise
20-29,White,Female,surprise
30-39,White,Female,disgust
20-29,White,Female,fear
30-39,White,Male,neutral
20-29,White,Female,disgust
20-29,White,Male,surprise
20-29,White,Male,disgust
20-29,White,Female,sad
20-29,White,Female,happy
20-29,White,Female,sad
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,sad
30-39,White,Male,angry
20-29,White,Female,fear
20-29,White,Male,angry
20-29,White,Female,sad
30-39,White,Male,happy
20-29,White,Female,surprise
30-39,White,Male,sad
30-39,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Male,sad
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Female,sad
20-29,White,Female,neutral
20-29,White,Female,neutral
30-39,White,Male,fear
20-29,White,Female,disgust
30-39,White,Male,angry
20-29,White,Female,happy
20-29,White,Female,happy
20-29,White,Male,surprise
20-29,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,disgust
30-39,White,Female,sad
30-39,White,Male,fear
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,happy
30-39,White,Male,neutral
20-29,White,Male,neutral
20-29,White,Female,happy
30-39,White,Male,neutral
20-29,White,Female,happy
20-29,White,Male,disgust
20-29,White,Male,surprise
20-29,White,Female,angry
20-29,White,Female,neutral
30-39,White,Male,fear
20-29,White,Male,happy
20-29,White,Female,sad
20-29,White,Female,disgust
20-29,White,Male,angry
20-29,White,Female,surprise
20-29,White,Female,surprise
30-39,White,Male,angry
20-29,White,Female,sad
20-29,White,Male,surprise
30-39,White,Male,disgust
20-29,White,Female,surprise
30-39,White,Male,angry
20-29,White,Female,fear
20-29,White,Female,surprise
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Male,surprise
20-29,White,Female,happy
20-29,White,Male,happy
20-29,White,Female,angry
20-29,White,Female,sad
30-39,White,Male,neutral
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,neutral
30-39,White,Female,fear
20-29,White,Male,happy
20-29,White,Female,sad
30-39,White,Male,disgust
20-29,White,Female,angry
20-29,White,Male,happy
30-39,White,Male,sad
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,neutral
20-29,White,Female,sad
30-39,White,Male,fear
20-29,White,Female,neutral
30-39,White,Female,surprise
30-39,White,Female,surprise
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Male,happy
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,sad
20-29,White,Male,sad
20-29,White,Male,happy
20-29,White,Female,happy
20-29,White,Male,sad
20-29,White,Male,disgust
20-29,White,Male,happy
20-29,White,Female,sad
30-39,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Female,surprise
20-29,White,Male,neutral
30-39,White,Male,surprise
30-39,White,Male,fear
20-29,White,Male,neutral
20-29,White,Female,angry
20-29,White,Male,disgust
30-39,White,Female,happy
20-29,White,Female,fear
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,sad
20-29,White,Male,surprise
20-29,White,Female,fear
30-39,White,Male,surprise
20-29,White,Male,neutral
20-29,White,Female,fear
20-29,White,Female,neutral
20-29,White,Male,surprise
20-29,White,Female,happy
20-29,White,Female,disgust
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,happy
30-39,White,Male,neutral
20-29,White,Female,sad
20-29,White,Male,angry
20-29,White,Male,sad
20-29,White,Female,happy
20-29,White,Female,sad
30-39,White,Male,disgust
20-29,White,Female,happy
20-29,White,Female,sad
20-29,White,Female,disgust
20-29,White,Male,happy
20-29,White,Female,disgust
30-39,White,Female,sad
20-29,White,Male,surprise
20-29,White,Female,neutral
20-29,White,Female,fear
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,disgust
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,White,Male,happy
30-39,White,Female,disgust
20-29,White,Male,angry
20-29,White,Male,disgust
20-29,White,Female,happy
20-29,White,Female,neutral
20-29,White,Female,angry
20-29,White,Female,angry
20-29,White,Female,angry
20-29,White,Male,happy
20-29,White,Female,happy
20-29,White,Male,neutral
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Female,disgust
20-29,White,Female,surprise
30-39,White,Female,neutral
20-29,White,Male,surprise
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Female,disgust
30-39,White,Male,sad
20-29,White,Female,fear
20-29,White,Male,sad
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Female,surprise
20-29,White,Male,happy
20-29,White,Male,angry
20-29,White,Female,surprise
30-39,White,Female,surprise
20-29,White,Female,neutral
30-39,White,Male,sad
30-39,White,Male,neutral
30-39,White,Male,angry
20-29,White,Male,neutral
30-39,White,Male,sad
20-29,White,Female,sad
30-39,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Female,happy
20-29,White,Female,angry
20-29,White,Male,disgust
20-29,White,Female,sad
20-29,White,Female,happy
20-29,White,Male,angry
20-29,White,Female,angry
20-29,White,Male,happy
30-39,White,Female,surprise
30-39,White,Female,sad
20-29,White,Female,angry
30-39,White,Male,fear
20-29,White,Female,neutral
30-39,White,Male,disgust
30-39,White,Male,surprise
20-29,White,Male,neutral
20-29,White,Male,surprise
20-29,White,Male,neutral
30-39,White,Male,happy
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Female,sad
30-39,White,Female,surprise
20-29,White,Female,disgust
20-29,White,Female,happy
20-29,White,Female,surprise
20-29,White,Male,disgust
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,fear
30-39,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,happy
20-29,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,sad
20-29,White,Male,surprise
30-39,White,Male,sad
20-29,White,Male,fear
20-29,White,Female,sad
20-29,White,Female,sad
20-29,White,Female,disgust
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,fear
30-39,White,Male,happy
20-29,White,Male,surprise
20-29,White,Male,surprise
20-29,White,Male,fear
20-29,White,Female,disgust
30-39,White,Male,surprise
20-29,White,Female,angry
20-29,White,Male,fear
30-39,White,Male,surprise
20-29,White,Female,neutral
20-29,White,Male,disgust
20-29,White,Male,angry
20-29,White,Female,sad
30-39,White,Female,happy
20-29,White,Female,sad
20-29,White,Male,neutral
20-29,White,Female,angry
20-29,White,Female,surprise
20-29,White,Female,disgust
30-39,White,Male,happy
20-29,White,Female,sad
20-29,White,Female,surprise
20-29,White,Female,happy
20-29,White,Male,surprise
20-29,White,Female,happy
20-29,White,Male,disgust
20-29,White,Male,surprise
20-29,White,Male,sad
20-29,White,Female,happy
20-29,White,Female,disgust
30-39,White,Female,surprise
20-29,White,Female,happy
20-29,White,Female,angry
30-39,White,Male,angry
20-29,White,Male,surprise
20-29,White,Female,neutral
30-39,White,Male,surprise
20-29,White,Female,surprise
20-29,White,Female,happy
20-29,White,Female,fear
30-39,White,Male,fear
20-29,White,Female,surprise
20-29,White,Male,neutral
20-29,White,Female,fear
20-29,White,Female,fear
30-39,White,Male,sad
20-29,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,surprise
30-39,White,Female,angry
20-29,White,Female,happy
30-39,White,Male,fear
20-29,White,Male,happy
30-39,White,Male,fear
30-39,White,Male,angry
20-29,White,Male,angry
20-29,White,Female,neutral
20-29,White,Female,sad
30-39,White,Male,sad
20-29,White,Male,disgust
20-29,White,Male,neutral
20-29,White,Male,angry
20-29,White,Female,disgust
20-29,White,Male,fear
20-29,White,Female,fear
20-29,White,Male,surprise
20-29,White,Female,disgust
30-39,White,Female,surprise
20-29,White,Male,angry
20-29,White,Female,disgust
20-29,White,Female,angry
30-39,White,Male,surprise
20-29,White,Female,surprise
20-29,White,Female,fear
20-29,White,Female,disgust
20-29,White,Female,sad
20-29,White,Female,happy
30-39,White,Male,neutral
30-39,White,Male,neutral
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Female,fear
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Male,fear
20-29,White,Female,happy
20-29,White,Female,surprise
20-29,White,Female,angry
20-29,White,Male,happy
20-29,White,Male,surprise
20-29,White,Male,disgust
30-39,White,Male,angry
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Female,disgust
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Male,neutral
20-29,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,neutral
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Female,sad
20-29,White,Male,fear
20-29,White,Male,neutral
20-29,White,Male,surprise
20-29,White,Female,happy
20-29,White,Female,surprise
20-29,White,Male,sad
20-29,White,Female,sad
30-39,White,Male,sad
30-39,White,Male,angry
20-29,White,Male,disgust
20-29,White,Male,happy
20-29,White,Female,happy
20-29,White,Female,fear
20-29,White,Female,surprise
20-29,White,Female,neutral
20-29,White,Female,sad
20-29,White,Female,fear
20-29,White,Female,fear
20-29,White,Female,neutral
20-29,White,Female,sad
30-39,White,Male,sad
20-29,White,Female,angry
20-29,White,Female,sad
20-29,White,Male,neutral
20-29,White,Female,surprise
20-29,White,Female,happy
30-39,White,Female,sad
30-39,White,Male,surprise
20-29,White,Male,neutral
30-39,White,Male,sad
20-29,White,Male,disgust
20-29,White,Female,neutral
20-29,White,Female,disgust
20-29,White,Male,fear
30-39,White,Male,fear
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Male,sad
20-29,White,Male,happy
20-29,White,Male,surprise
20-29,White,Female,angry
20-29,White,Male,neutral
30-39,White,Female,disgust
30-39,White,Male,neutral
20-29,White,Female,surprise
30-39,White,Male,fear
20-29,White,Female,fear
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,happy
20-29,White,Female,happy
20-29,White,Female,happy
20-29,White,Male,happy
20-29,White,Female,happy
20-29,White,Female,angry
20-29,White,Female,disgust
20-29,White,Female,surprise
20-29,White,Female,sad
20-29,White,Female,neutral
20-29,White,Female,neutral
20-29,White,Female,surprise
30-39,White,Female,fear
20-29,White,Female,happy
30-39,White,Male,angry
20-29,White,Female,disgust
20-29,White,Female,angry
20-29,White,Male,disgust
20-29,White,Female,sad
20-29,White,Female,sad
20-29,White,Female,angry
20-29,White,Male,fear
20-29,White,Male,neutral
30-39,White,Male,fear
20-29,White,Female,surprise
20-29,White,Male,surprise
20-29,White,Female,fear
20-29,White,Female,neutral
20-29,White,Female,fear
20-29,White,Female,neutral
30-39,White,Male,neutral
20-29,White,Male,surprise
20-29,White,Female,happy
30-39,White,Male,surprise
